Total Abgeordnete: 4379

Wassermann 422 Abgeordnete
Widder 392 Abgeordnete
Stier 388 Abgeordnete
Krebs 386 Abgeordnete
Zwillinge 384 Abgeordnete
Fische 371 Abgeordnete
Steinbock 367 Abgeordnete
Löwe 365 Abgeordnete
Jungfrau 341 Abgeordnete
Waage 340 Abgeordnete
Schütze 335 Abgeordnete
Skorpion 288 Abgeordnete

Waage 340 Abgeordnete
11000001, 'Manfred', 'Abelein', '20.10.1930', 'CDU', 'Waage'
11000008, 'Raban', 'Adelmann', '28.09.1912', 'CDU', 'Waage'
11000066, 'Dietrich', 'Austermann', '22.10.1941', 'CDU', 'Waage'
11000104, 'Hans', 'Batz', '23.10.1927', 'SPD', 'Waage'
11000112, 'Brigitte', 'Baumeister', '19.10.1946', 'CDU', 'Waage'
11000122, 'Walter', 'Becher', '01.10.1912', 'CSU', 'Waage'
11000135, 'Friedrich', 'Beermann', '09.10.1912', 'SPD', 'Waage'
11000177, 'Karl', 'Bielig', '10.10.1898', 'SPD', 'Waage'
11000185, 'Otto', 'Bismarck', '25.09.1897', 'CDU', 'Waage'
11000211, 'Helmut', 'Bockelberg', '20.10.1911', 'CDU', 'Waage'
11000226, 'Arne', 'Börnsen', '05.10.1944', 'SPD', 'Waage'
11000234, 'Annemarie', 'Borgmann', '13.10.1942', 'GRÜNE', 'Waage'
11000292, 'Heinz', 'Budde', '08.10.1925', 'CDU', 'Waage'
11000302, 'Hans', 'Büttner', '18.10.1944', 'SPD', 'Waage'
11000330, 'Joachim', 'Clemens', '06.10.1931', 'CDU', 'Waage'
11000333, 'Kurt', 'Conrad', '19.10.1911', 'SPD', 'Waage'
11000334, 'Margit', 'Conrad', '30.09.1952', 'SPD', 'Waage'
11000359, 'Klaus', 'Daubertshäuser', '16.10.1943', 'SPD', 'Waage'
11000378, 'Georg', 'Dewald', '29.09.1892', 'SPD', 'Waage'
11000397, 'Werner', 'Dörflinger', '02.10.1940', 'CDU', 'Waage'
11000403, 'Werner', 'Dollinger', '10.10.1918', 'CSU', 'Waage'
11000410, 'Hermann', 'Dortans', '06.10.1898', 'SPD', 'Waage'
11000422, 'Wilhelm', 'Dröscher', '07.10.1920', 'SPD', 'Waage'
11000431, 'Peter', 'Eckardt', '13.10.1940', 'SPD', 'Waage'
11000437, 'Jürgen', 'Egert', '23.10.1941', 'SPD', 'Waage'
11000438, 'Hermann', 'Ehlers', '01.10.1904', 'CDU', 'Waage'
11000442, 'Georg', 'Ehnes', '27.09.1920', 'CSU', 'Waage'
11000444, 'Hermann', 'Ehren', '17.10.1894', 'CDU', 'Waage'
11000451, 'Josef', 'Eichner', '12.10.1899', 'FU', 'Waage'
11000469, 'Wendelin', 'Enders', '20.10.1922', 'SPD', 'Waage'
11000495, 'Jörg', 'Essen', '29.09.1947', 'FDP', 'Waage'
11000503, 'Hans', 'Evers', '24.09.1925', 'CDU', 'Waage'
11000523, 'Klaus-Dieter', 'Feige', '30.09.1950', 'BÜNDNIS 90/DIE GRÜNEN', 'Waage'
11000540, 'Eduard', 'Fiedler', '01.10.1890', 'CDU', 'Waage'
11000560, 'Karl-Hermann', 'Flach', '17.10.1929', 'FDP', 'Waage'
11000564, 'Katharina', 'Focke', '08.10.1922', 'SPD', 'Waage'
11000566, 'Erwin', 'Folger', '24.09.1909', 'SPD', 'Waage'
11000581, 'Göke D.', 'Frerichs', '22.10.1923', 'CDU', 'Waage'
11000586, 'Hans', 'Friderichs', '16.10.1931', 'FDP', 'Waage'
11000593, 'Horst', 'Friedrich', '12.10.1950', 'FDP', 'Waage'
11000622, 'Friedrich', 'Funk', '03.10.1900', 'CSU', 'Waage'
11000649, 'Michaela', 'Geiger', '29.09.1943', 'CSU', 'Waage'
