Total Abgeordnete: 726

Stier 73 Abgeordnete
Waage 68 Abgeordnete
Jungfrau 67 Abgeordnete
Zwillinge 66 Abgeordnete
Löwe 62 Abgeordnete
Krebs 61 Abgeordnete
Wassermann 60 Abgeordnete
Steinbock 59 Abgeordnete
Schütze 58 Abgeordnete
Fische 56 Abgeordnete
Widder 53 Abgeordnete
Skorpion 43 Abgeordnete

Steinbock 59 Abgeordnete
11000756, 'Gregor', 'Gysi', '16.01.1948', 'DIE LINKE.', 'Steinbock'
11002720, 'Steffi', 'Lemke', '19.01.1968', 'BÜNDNIS 90/DIE GRÜNEN', 'Steinbock'
11003545, 'Bettina', 'Hagedorn', '26.12.1955', 'SPD', 'Steinbock'
11003756, 'Kai', 'Gehring', '26.12.1977', 'BÜNDNIS 90/DIE GRÜNEN', 'Steinbock'
11003761, 'Monika', 'Grütters', '09.01.1962', 'CDU', 'Steinbock'
11003782, 'Josip', 'Juratovic', '15.01.1959', 'SPD', 'Steinbock'
11003834, 'Frank', 'Schäffler', '22.12.1968', 'FDP', 'Steinbock'
11004010, 'Peter', 'Beyer', '25.12.1970', 'CDU', 'Steinbock'
11004071, 'Volkmar', 'Klein', '13.01.1960', 'CDU', 'Steinbock'
11004072, 'Maria', 'Klein-Schmeink', '06.01.1958', 'BÜNDNIS 90/DIE GRÜNEN', 'Steinbock'
11004097, 'Christian', 'Lindner', '07.01.1979', 'FDP', 'Steinbock'
11004111, 'Cornelia', 'Möhring', '09.01.1960', 'DIE LINKE.', 'Steinbock'
11004119, 'Ingrid', 'Nestle', '22.12.1977', 'BÜNDNIS 90/DIE GRÜNEN', 'Steinbock'
11004217, 'Tobias', 'Lindner', '11.01.1982', 'BÜNDNIS 90/DIE GRÜNEN', 'Steinbock'
11004278, 'Matthias', 'Gastel', '26.12.1970', 'BÜNDNIS 90/DIE GRÜNEN', 'Steinbock'
11004336, 'Silke', 'Launert', '27.12.1976', 'CSU', 'Steinbock'
11004384, 'Alois', 'Rainer', '07.01.1965', 'CSU', 'Steinbock'
11004387, 'Andreas', 'Rimkus', '24.12.1962', 'SPD', 'Steinbock'
11004405, 'Kordula', 'Schulz-Asche', '31.12.1956', 'BÜNDNIS 90/DIE GRÜNEN', 'Steinbock'
11004429, 'Julia', 'Verlinden', '18.01.1979', 'BÜNDNIS 90/DIE GRÜNEN', 'Steinbock'
11004727, 'Albrecht', 'Glaser', '08.01.1942', 'AfD', 'Steinbock'
11004733, 'Erhard', 'Grundl', '07.01.1963', 'BÜNDNIS 90/DIE GRÜNEN', 'Steinbock'
11004739, 'Jochen', 'Haug', '11.01.1973', 'AfD', 'Steinbock'
11004749, 'Martin', 'Hess', '11.01.1971', 'AfD', 'Steinbock'
11004756, 'Bettina', 'Hoffmann', '18.01.1960', 'BÜNDNIS 90/DIE GRÜNEN', 'Steinbock'
11004764, 'Johannes', 'Huber', '12.01.1987', 'Plos', 'Steinbock'
11004784, 'Daniela', 'Kluckert', '22.12.1980', 'FDP', 'Steinbock'
11004792, 'Rainer', 'Kraft', '08.01.1974', 'AfD', 'Steinbock'
11004814, 'Astrid', 'Mannes', '02.01.1967', 'CDU', 'Steinbock'
11004815, 'Till', 'Mansmann', '08.01.1968', 'FDP', 'Steinbock'
11004823, 'Amira', 'Mohamed Ali', '16.01.1980', 'BSW', 'Steinbock'
11004842, 'Jan Ralf', 'Nolte', '30.12.1988', 'AfD', 'Steinbock'
11004845, 'Josef', 'Oster', '04.01.1971', 'CDU', 'Steinbock'
11004856, 'Jürgen', 'Pohl', '07.01.1964', 'AfD', 'Steinbock'
11004867, 'Stefan', 'Rouenhoff', '23.12.1978', 'CDU', 'Steinbock'
11004912, 'Hermann-Josef', 'Tebroke', '19.01.1964', 'CDU', 'Steinbock'
11004914, 'Michael', 'Theurer', '12.01.1967', 'FDP', 'Steinbock'
11004921, 'Markus', 'Töns', '01.01.1964', 'SPD', 'Steinbock'
11004922, 'Andrew', 'Ullmann', '02.01.1963', 'FDP', 'Steinbock'
11004923, 'Gerald', 'Ullrich', '23.12.1962', 'FDP', 'Steinbock'
11005007, 'Ali', 'Al-Dailami', '27.12.1981', 'Plos', 'Steinbock'
